tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0004707	movie	Tillie's Punctured Romance	Tillie's Punctured Romance	0	1914		82	Comedy
tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915		195	Drama,War
tt0006864	movie	Intolerance	Intolerance: Love's Struggle Throughout the Ages	0	1916		163	Drama,History
tt0006997	movie	The Warrior	Maciste alpino	0	1916		95	Action,Drama,War
tt0019813	movie	The Desert Song	The Desert Song	0	1929		123	Action,Musical,Romance
tt0021786	movie	Daybreak	Daybreak	0	1931		85	Drama
tt0022117	movie	The Man in Possession	The Man in Possession	0	1931		84	Comedy,Romance
tt0022675	movie	The Big Broadcast	The Big Broadcast	0	1932		88	Comedy,Musical,Romance
tt0022873	movie	Faithless	Faithless	0	1932		77	Drama
tt0023158	movie	Love Me Tonight	Love Me Tonight	0	1932		104	Comedy,Musical,Romance
tt0023245	movie	The Mummy	The Mummy	0	1932		73	Fantasy,Horror
tt0023293	movie	The Old Dark House	The Old Dark House	0	1932		72	Adventure,Comedy,Drama
tt0024554	movie	A Shriek in the Night	A Shriek in the Night	0	1933		66	Crime,Mystery,Romance
tt0024727	movie	The Vampire Bat	The Vampire Bat	0	1933		65	Drama,Horror,Mystery
tt0024906	movie	Born to Be Bad	Born to Be Bad	0	1934		62	Drama,Romance
tt0025301	movie	Imitation of Life	Imitation of Life	0	1934		111	Comedy,Drama,Romance
tt0025333	movie	Journal of a Crime	Journal of a Crime	0	1934		65	Drama,Film-Noir
tt0025499	movie	Midnight	Midnight	0	1934		76	Crime,Drama,Film-Noir
tt0025586	movie	Of Human Bondage	Of Human Bondage	0	1934		83	Drama,Film-Noir,Romance
tt0025907	movie	Treasure Island	Treasure Island	0	1934		110	Adventure,Drama,Family
tt0027286	movie	The Amazing Adventure	The Amazing Quest of Ernest Bliss	0	1936		61	Comedy,Drama,Romance
tt0028092	movie	Pennies from Heaven	Pennies from Heaven	0	1936		81	Comedy,Drama,Music
tt0028174	movie	Revolt of the Zombies	Revolt of the Zombies	0	1936		65	Adventure,Horror
tt0028249	movie	Show Boat	Show Boat	0	1936		113	Comedy,Drama,Musical
tt0028367	movie	Three Godfathers	Three Godfathers	0	1936		81	Drama,Western
tt0028806	movie	Double or Nothing	Double or Nothing	0	1937		90	Comedy,Music,Romance
tt0029761	movie	When You're in Love	When You're in Love	0	1937		110	Comedy,Musical,Romance
tt0031477	movie	In Name Only	In Name Only	0	1939		94	Drama,Romance
tt0031885	movie	The Rules of the Game	La règle du jeu	0	1939		110	Comedy,Drama
tt0032138	movie	The Wizard of Oz	The Wizard of Oz	0	1939		102	Adventure,Family,Fantasy
tt0032145	movie	Wuthering Heights	Wuthering Heights	0	1939		104	Drama,Romance
tt0033286	movie	Young Bill Hickok	Young Bill Hickok	0	1940		59	Drama,Music,Western
tt0033723	movie	Hold That Ghost	Hold That Ghost	0	1941		86	Comedy,Crime,Horror
tt0034398	movie	The Wolf Man	The Wolf Man	0	1941		70	Horror,Mystery,Romance
tt0034465	movie	Arabian Nights	Arabian Nights	0	1942		86	Action,Adventure,Comedy
tt0034707	movie	Escape from Crime	Escape from Crime	0	1942		51	Crime,Drama
tt0034742	movie	Flying Tigers	Flying Tigers	0	1942		102	Action,Drama,Romance
tt0036022	movie	The Human Comedy	The Human Comedy	0	1943		117	Comedy,Drama,Family
tt0036692	movie	Can't Help Singing	Can't Help Singing	0	1944		90	Comedy,Musical,Romance
tt0036706	movie	Charlie Chan in the Secret Service	Charlie Chan in the Secret Service	0	1944		63	Mystery
tt0036730	movie	Crime by Night	Crime by Night	0	1944		72	Comedy,Drama,Mystery
tt0037059	movie	Meet Me in St. Louis	Meet Me in St. Louis	0	1944		113	Comedy,Drama,Family
tt0037280	movie	Since You Went Away	Since You Went Away	0	1944		177	Drama,Romance,War
tt0037638	movie	Detour	Detour	0	1945		66	Crime,Drama,Film-Noir
tt0037651	movie	The Dolly Sisters	The Dolly Sisters	0	1945		114	Biography,Drama,Musical
tt0037767	movie	Having Wonderful Crime	Having Wonderful Crime	0	1945		70	Mystery
tt0038026	movie	Rhapsody in Blue	Rhapsody in Blue	0	1945		135	Biography,Drama,Music
tt0038071	movie	Sensation Hunters	Sensation Hunters	0	1945		62	Action,Crime,Drama
tt0038213	movie	The Valley of Decision	The Valley of Decision	0	1945		119	Drama,Romance
tt0038235	movie	A Walk in the Sun	A Walk in the Sun	0	1945		117	Drama,War
tt0038390	movie	Caesar and Cleopatra	Caesar and Cleopatra	0	1945		123	Biography,Comedy,Drama
tt0038975	movie	The Spiral Staircase	The Spiral Staircase	0	1946		83	Drama,Horror,Mystery
tt0039192	movie	Black Narcissus	Black Narcissus	0	1947		101	Drama
tt0039317	movie	The Devil Thumbs a Ride	The Devil Thumbs a Ride	0	1947		62	Crime,Drama,Film-Noir
tt0039634	movie	Mother Wore Tights	Mother Wore Tights	0	1947		107	Drama,Musical,Romance
tt0039668	movie	Nosotros los pobres	Nosotros los pobres	0	1948		128	Comedy,Crime,Drama
tt0039677	movie	Odd Man Out	Odd Man Out	0	1947		116	Crime,Drama,Film-Noir
tt0040064	movie	3 Godfathers	3 Godfathers	0	1948		106	Drama,Western
tt0040270	movie	The Dark Past	The Dark Past	0	1948		73	Crime,Film-Noir,Thriller
tt0040806	movie	The Snake Pit	The Snake Pit	0	1948		108	Drama,Mystery
tt0040919	movie	Unfaithfully Yours	Unfaithfully Yours	0	1948		105	Comedy,Music,Romance
tt0041090	movie	Adam's Rib	Adam's Rib	0	1949		101	Comedy,Romance
tt0041162	movie	Batman and Robin	Batman and Robin	0	1949		263	Action,Adventure,Family
tt0041452	movie	The Heiress	The Heiress	0	1949		115	Drama,Romance
tt0041786	movie	The Reckless Moment	The Reckless Moment	0	1949		82	Crime,Drama,Film-Noir
