tconst	ordering	nconst	category	job	characters
tt0004707	1	nm0000122	actor		The City Slicker
tt0004707	2	nm0237597	actress		Tillie
tt0004707	3	nm0635667	actress		Mabel
tt0004707	4	nm0841501	actor		Tillie's Father
tt0004707	5	nm0071658	actor		Douglas Banks - Tillie's Millionaire Uncle
tt0004707	6	nm0071658	actor		1st Restaurant Proprietor
tt0004707	7	nm0174682	actor		Mr. Whoozis
tt0004707	8	nm0174682	actor		Singing Waiter
tt0004707	9	nm0016744	actor		Party Guest
tt0004707	10	nm0016744	actor		Cop
tt0004707	11	nm0020914	actress		Prison Matron
tt0004707	12	nm0020914	actress		Restaurant Patron
tt0004707	13	nm0020914	actress		Guest
tt0004707	14	nm0071616	actress		Maid
tt0004707	15	nm0071616	actress		Party Guest
tt0004707	16	nm0096094	actor		Policeman
tt0004707	17	nm0784407	director		
tt0004707	18	nm0784407	producer	producer	
tt0004707	19	nm0452992	composer	composer	
tt0004707	20	nm0675356	composer	composer	
tt0004972	1	nm0001273	actress		Elsie - Stoneman's Daughter
tt0004972	2	nm0550615	actress		Flora Cameron - The Pet Sister
tt0004972	3	nm0910400	actor		Col. Ben Cameron aka The Little Colonel
tt0004972	4	nm0178270	actress		Margaret Cameron - The Elder Sister
tt0004972	5	nm0017488	actress		Lydia Brown - Stoneman's Mulatto Housekeeper
tt0004972	6	nm0507635	actor		Hon. Austin Stoneman - Leader of the House
tt0004972	7	nm0797094	actor		Silas Lynch - Mulatto Lieut. Governor
tt0004972	8	nm0519227	actor		Gus - A Renegade Negro
tt0004972	9	nm0366008	actor		Tod - Stoneman's Younger Son
tt0004972	10	nm0717468	actor		Jeff - The Blacksmith
tt0004972	11	nm0000428	director		
tt0004972	12	nm0228746	writer	"adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan"""	
tt0004972	13	nm0000428	writer		
tt0004972	14	nm0940488	writer		
tt0004972	15	nm0934306	writer	"excerpts from: ""History of the American People"""	
tt0004972	16	nm0000428	producer	producer	
tt0004972	17	nm0106922	composer	composer	
tt0004972	18	nm0000428	composer	composer	
tt0004972	19	nm0005658	cinematographer		
tt0004972	20	nm0000428	editor		
tt0004972	21	nm0376221	editor		
tt0004972	22	nm0808571	editor		
tt0004972	23	nm0809817	editor		
tt0006864	1	nm0001273	actress		The Woman Who Rocks the Cradle
tt0006864	2	nm0001273	actress		Eternal Mother
tt0006864	3	nm0366008	actor		The Boy
tt0006864	4	nm0550615	actress		The Dear One
tt0006864	5	nm0877548	actor		The Dear One's Father
tt0006864	6	nm0208659	actor		Arthur Jenkins
tt0006864	7	nm0507849	actress		Mary Jenkins
tt0006864	8	nm0017488	actress		Uplifter
tt0006864	9	nm0913432	actress		Uplifter
tt0006864	10	nm0255466	actress		Uplifter
tt0006864	11	nm1026284	actress		Uplifter
tt0006864	12	nm0000428	director		
tt0006864	13	nm0000428	writer	scenario	
tt0006864	14	nm0002616	writer	titles	
tt0006864	15	nm0000428	producer	producer	
tt0006864	16	nm0002301	composer	composer	
tt0006864	17	nm0005658	cinematographer		
tt0006864	18	nm0808571	editor		
tt0006864	19	nm0809817	editor		
tt0006997	1	nm0656034	actor		Maciste
tt0006997	2	nm0771998	actor		Fritz Pluffer
tt0006997	3	nm0292041	actress		Giulietta
tt0006997	4	nm0312553	actor		Conte di Pratolungo
tt0006997	5	nm1023861	actress		Contessina di Pratolungo
tt0006997	6	nm2449348	actor		
tt0006997	7	nm0899932	actress		
tt0006997	8	nm0591622	actor		
tt0006997	9	nm0096705	director		
tt0006997	10	nm0535957	director		
tt0006997	11	nm0665163	director		
tt0006997	12	nm0665163	writer	screenplay	
tt0006997	13	nm0866527	cinematographer		
tt0019813	1	nm0092900	actor		The Red Shadow (Pierre Birbeau)
tt0019813	2	nm0454544	actress		Margot
tt0019813	3	nm0269771	actress		Susan
tt0019813	4	nm0037783	actor		Benny Kidd
tt0019813	5	nm0553273	actor		General Birbeau
tt0019813	6	nm0695466	actor		Pasha
tt0019813	7	nm0350106	actor		Sid El Kar
tt0019813	8	nm0389043	actor		Hasse
tt0019813	9	nm0920328	actress		Clementina
tt0019813	10	nm0587534	actor		Captain Paul Fontaine
tt0019813	11	nm0215877	director		
tt0019813	12	nm0309567	writer	screenplay	
tt0019813	13	nm0358564	writer	play	
tt0019813	14	nm0361877	writer	play	
tt0019813	15	nm0541641	writer	play	
tt0019813	16	nm0569222	cinematographer		
tt0019813	17	nm0206238	editor		
tt0021786	1	nm0003895	actor		Willi Kasder
tt0021786	2	nm0151377	actress		Laura Taub
tt0021786	3	nm0380965	actor		Herr Schnabel
tt0021786	4	nm0807580	actor		General von Hertz
tt0021786	5	nm0049055	actor		Otto
tt0021786	6	nm0605904	actress		Emily Kessner
tt0021786	7	nm0599766	actor		Von Lear
tt0021786	8	nm0874497	actor		Franz
tt0021786	9	nm0176971	actor		Josef
tt0021786	10	nm0315206	actor		Emil
tt0021786	11	nm0275494	director		
tt0021786	12	nm0774217	writer	from the book by	
tt0021786	13	nm0401738	writer	dialogue	
tt0021786	14	nm0191956	writer	adaptation	
tt0021786	15	nm0005719	cinematographer	cinematographer	
tt0021786	16	nm0374934	editor	film editor	
tt0022117	1	nm0599910	actor		Raymond Dabney
tt0022117	2	nm0339307	actress		Clara
tt0022117	3	nm0700723	actress		Crystal Wetherby
tt0022117	4	nm0807580	actor		Mr. Dabney
tt0022117	5	nm0580240	actress		Mrs. Dabney
tt0022117	6	nm0654239	actor		Claude Dabney
tt0022117	7	nm0610253	actor		Sir Charles Cartwright
tt0022117	8	nm0248291	actress		Esther
tt0022117	9	nm0367516	actor		A Bailiff
tt0022117	10	nm0792862	actor		A Butcher
tt0022117	11	nm0367814	writer	from the play by	
tt0022117	12	nm0556945	writer	screen adaptation	
tt0022117	13	nm0937289	writer	additional dialogue	
tt0022117	14	nm0939992	producer	producer	
tt0022117	15	nm0005784	cinematographer	cinematographer	
tt0022117	16	nm0506951	editor	film editor	
tt0022675	1	nm0260020	actor		Leslie McWhinney
tt0022675	2	nm0001078	actor		Bing Crosby
tt0022675	3	nm0404885	actress		Anita Rogers
tt0022675	4	nm0122675	actor		George
tt0022675	5	nm0020555	actress		Gracie
tt0022675	6	nm0808889	actress		Kate Smith
tt0022675	7	nm1291352	actor		The Mills Brothers
tt0022675	8	nm1270195	actress		Boswell Sisters
tt0022675	9	nm0870492	actor		The Street Singer
tt0022675	10	nm1315417	actor		Lopez Orchestra
tt0022675	11	nm0878338	director		
tt0022675	12	nm0542608	writer	"play ""Wild Waves"""	
tt0022675	13	nm0547938	writer	screenplay	
tt0022675	14	nm0005706	cinematographer	cinematographer	
tt0022873	1	nm0000845	actress		Carol Morgan
tt0022873	2	nm0599910	actor		William 'Bill' Wade
tt0022873	3	nm0001890	actor		Peter M. Blainey
tt0022873	4	nm0614515	actor		Anthony 'Tony' Wade
tt0022873	5	nm0167113	actress		First Landlady
tt0022873	6	nm0032188	actress		Mrs. Mandel--Second Landlady
tt0022873	7	nm0335517	actor		Mr. Ledyard
tt0022873	8	nm0464137	actor		Mr. Carter
tt0022873	9	nm0062649	actor		Candy Store Proprietor
tt0022873	10	nm1211217	actor		Truck Driver
tt0022873	11	nm0064600	director		
tt0022873	12	nm0933133	writer	screen play	
tt0022873	13	nm0186118	writer	"novel ""Tinfoil"""	
tt0022873	14	nm0005784	cinematographer	cinematographer	
tt0022873	15	nm0943969	editor		
tt0023158	1	nm0002001	actor		Maurice
tt0023158	2	nm0531776	actress		Princess Jeanette
tt0023158	3	nm0749476	actor		Viscount Gilbert de Varèze
tt0023158	4	nm0125325	actor		Count de Savignac
tt0023158	5	nm0001485	actress		Countess Valentine
tt0023158	6	nm0807580	actor		Duke d'Artelines
tt0023158	7	nm0666201	actress		First Aunt
tt0023158	8	nm0341100	actress		Second Aunt
tt0023158	9	nm0002768	actress		Third Aunt
tt0023158	10	nm0147248	actor		Dr. Armand de Fontinac
tt0023158	11	nm0541149	director		
tt0023158	12	nm0388755	writer	screen play	
tt0023158	13	nm0547938	writer	screen play	
tt0023158	14	nm0950150	writer	screen play	
tt0023158	15	nm0545401	writer	based on a play by	
tt0023158	16	nm0541149	producer	producer	
tt0023158	17	nm0005800	cinematographer	cinematographer	
tt0023245	1	nm0000472	actor		Imhotep
tt0023245	2	nm0423685	actress		Helen Grosvenor
tt0023245	3	nm0543115	actor		Frank Whemple
